Model,Formulation,Accuracy,Macro F1,Extreme Recall,Extreme Precision
LightGBM Classifier,Multiclass Direct,0.4389517569982132,0.3943143495122053,0.4326241134751773,0.16944444444444445
XGBoost Classifier,Multiclass Direct,0.44341870160810004,0.40204907507532195,0.5319148936170213,0.16129032258064516
CatBoost Classifier,Multiclass Direct,0.4029184038117927,0.37798061217965356,0.5106382978723404,0.1568627450980392
LightGBM Regressor,Regression + Dynamic Thresholds,0.5128052412150089,0.4165961927722189,0.3617021276595745,0.2383177570093458
XGBoost Regressor,Regression + Dynamic Thresholds,0.48927933293627157,0.42247975971005847,0.3617021276595745,0.2328767123287671
CatBoost Regressor,Regression + Dynamic Thresholds,0.5077427039904705,0.4293382567623855,0.2127659574468085,0.2857142857142857
LightGBM Regressor (Opt),Regression + Optimized F1 Thresholds,0.4928528886241811,0.4210860628234173,0.2127659574468085,0.2857142857142857
